handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,cost,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2,brand
SSLC,Product,Sugar Ingo Sultan 1 Kg,1kg X 5,acbaa7_0c0ba4e08b3443e5a13cfcd0f9488eee~mv2.jpg,Others;Wholesale Orders,SSLC,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSST120,Product,Safi Sardines With Tomato Sauce,125g X 50,acbaa7_9b07fb08e36a47a49d8a332a99855e91~mv2.jpg,Sardines & Tuna;Wholesale Orders,SSST120,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAD500,Product,Andalusian Sauce,500ml X 12,acbaa7_72781bde624d4601975f27ff99a6f4ca~mv2.jpg,TAYEB Brand;Wholesale Orders,STAD500,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAL500,Product,Algerian Sauce Tayeb 500 Ml,500ml X 12,acbaa7_05b659096d284a48a15537b1cfa709b8~mv2.jpg,TAYEB Brand;Wholesale Orders,STAL500,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STBRG500,Product,Burger Sauce Tayeb 500 Ml,500ml X 12,acbaa7_2bc33a34934b4f69a167555fe4cb5335~mv2.jpg,TAYEB Brand;Wholesale Orders,STBRG500,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STMAR500,Product,Moroccan Sauce Tayeb 500 Ml,500ml X 12,acbaa7_ba0f76668edb4e4a89ee48ba38c50584~mv2.jpg,TAYEB Brand;Wholesale Orders,STMAR500,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVAR360g,Product,Soap Arial 375g X 16,375g X 16,acbaa7_484f92aa0a804a6987c892343e74e1c4~mv2.jpg,Laundry soap;Wholesale Orders,SVAR360g,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVDAJ100,Product,Marseille Soap With Argan And Orange Blossom Doussy,(100g X 4) X 24,acbaa7_b544961bd8d643af86c58d566be8e231~mv2.jpg,Body Care;Wholesale Orders,SVDAJ100,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVDHO100,Product,Marseille Soap With Olive Oil Doussy,(100g X 4) X 24,acbaa7_109064cdc6344de7bcd36e9bef787d7c~mv2.jpg,Body Care;Wholesale Orders,SVDHO100,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVDJK100,Product,Marseille Soap With Jasmin And Shea Butter Doussy,(100g X 4) X 24,acbaa7_8095d7426d8d4ecb9583ff77a40162f6~mv2.jpg,Body Care;Wholesale Orders,SVDJK100,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
